273.15	1.5932	
277.24	2.1065	
277.24	2.112	
278.12	2.233	
278.12	2.2425	
278.15	2.2395	
281.45	2.760	
281.55	2.800	
282.15	2.920	
282.45	2.9464	
282.85	3.040	
283.14	3.108	
283.14	3.129	
283.15	3.140	
283.35	3.133	
283.75	3.2264	
284.15	3.2664	
284.75	3.413	
284.95	3.5064	
285.25	3.5464
285.55	3.6264	
286.05	3.693	
286.35	3.813	
286.75	3.880	
287.05	3.986	
287.25	4.013	
287.95	4.200	
288.11	4.276	
288.11	4.302	
288.35	4.306	
289.05	4.493	
289.05	4.520		
289.45	4.586	
289.65	4.666	
289.85	4.786	
290.25	4.840	
290.35	4.853	
290.65	4.960	
291.05	5.080	
291.45	5.186	
291.75	5.333	
291.85	5.320	
292.25	5.466	
292.45	5.546	
292.65	5.613	
293.05	5.760	
293.15	5.786	
293.15	5.865	
293.20	5.860	
293.20	5.864	
293.20	5.882	
293.35	5.893	
293.65	5.960	
293.75	6.026	
294.25	6.173	
294.25	6.199	
294.65	6.319	
294.75	6.359	
294.95	6.426	
295.25	6.533	
295.45	6.599	
295.45	6.653	
295.55	6.533	
295.65	6.733	
295.85	6.773	
295.95	6.866	
296.05	6.879	
296.25	6.946	
296.35	7.026	
296.55	7.066	
296.65	7.146	
298.12	7.883	
298.12	7.889	
298.15	7.869	
303.16	10.454	
303.16	10.460	
303.20	10.479	
307.65	13.372	
308.14	13.736	
308.15	13.672	
308.15	13.703	
308.15	13.760	
308.18	13.777
308.18	13.785	
313.15	17.877	
313.17	17.909	
313.17	17.916	
314.85	19.985	
315.55	20.225	
318.14	23.058	
318.15	23.033	
318.18	23.093	
318.18	23.119	
319.17	24.247	
319.17	24.257	
321.05	26.798	
323.15	29.456	
323.15	29.488	
323.15	29.491	
325.55	33.411	
328.14	37.302	
328.15	37.312	
329.55	39.757	
329.65	40.010	
333.15	46.839	
335.85	53.356	
338.15	58.358	
338.15	58.400	
338.15	58.443	
340.85	66.874	
341.15	67.154	
343.15	72.273	
345.15	80.180	
348.15	88.858	
348.55	93.432	
349.05	93.846	
350.75	99.698	
350.85	100.045	
351.15	101.325
351.25	101.325	
351.70	102.220	
